"DisplayName","DisplayVersion","Publisher","InstallDate"
"Windows SDK DirectX x64 Remote","10.1.22621.3233","Microsoft Corporation","20240521"
"Microsoft .NET Host FX Resolver - 8.0.8 (x64)","64.32.18380","Microsoft Corporation","20240921"
"Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)","34.0.113","Microsoft Corporation","20240921"
"Microsoft Web Deploy 4.0","10.0.8305","Microsoft Corporation","20240521"
"Windows Subsystem for Linux","2.4.12.0","Microsoft Corporation","20250322"
"Application Verifier x64 External Package","10.1.19041.685","Microsoft","20240921"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)","17.0.8478","Microsoft Corporation","20240921"
"Microsoft .NET Host FX Resolver - 5.0.17 (x64)","40.68.31213","Microsoft Corporation","20240517"
"Microsoft .NET Toolset 8.0.400 (x64)","32.8.13214","Microsoft Corporation","20240921"
"Office 16 Click-to-Run Licensing Component","16.0.17932.20286","Microsoft Corporation","20250313"
"Office 16 Click-to-Run Extensibility Component","16.0.17932.20130","Microsoft Corporation","20241016"
"Python 3.12.6 Core Interpreter (64-bit)","3.12.6150.0","Python Software Foundation","20240921"
"DiagnosticsHub_CollectionService","17.10.34627","Microsoft Corporation","20240521"
"Lenovo AvatarMaster 1.1.125.1","1.1.125.1","Lenovo","20250128"
"Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)","14.0.8478","Microsoft Corporation","20240921"
"Microsoft .NET Runtime - 8.0.8 (x64)","64.32.18380","Microsoft Corporation","20240921"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","64.32.18242","Microsoft Corporation","20240921"
"Aspire.Hosting.Sdk (x64)","8.1.0.0","Microsoft Corporation","20240921"
"Microsoft .NET AppHost Pack - 8.0.8 (x64)","64.32.18380","Microsoft Corporation","20240921"
"UE Prerequisites (x64)","1.0.21.0","Epic Games, Inc.","20240519"
"Microsoft ASP.NET Core 8.0.8 Targeting Pack (x64)","8.0.8.24369","Microsoft Corporation","20240921"
"IIS 10.0 Express","10.0.08608","Microsoft Corporation","20240521"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113","Microsoft Corporation","20240521"
"icecap_collection_x64","17.11.35102","Microsoft Corporation","20240921"
"Microsoft .NET Runtime - 7.0.13 (x64)","56.52.4000","Microsoft Corporation","20250128"
"Aspire.Hosting (x64)","8.1.0.0","Microsoft Corporation","20240921"
"IIS Express Application Compatibility Database for x86",,,
"Microsoft .NET Host - 7.0.13 (x64)","56.52.4000","Microsoft Corporation","20250128"
"vs_minshellinteropx64msi","17.11.35102","Microsoft Corporation","20240921"
"NVIDIA Graphics Driver 572.16","572.16","NVIDIA Corporation","20250211"
"NVIDIA app 11.0.2.312","11.0.2.312","NVIDIA Corporation","20250208"
"NVIDIA MessageBus 3 for NvApp","3.13","NVIDIA Corporation","20250208"
"NVIDIA Backend","11.0.2.312","NVIDIA Corporation","20250208"
"NvCpl","1.0","NVIDIA Corporation","20250208"
,,,
"NVIDIA PhysX System Software 9.23.1019","9.23.1019","NVIDIA Corporation","20240618"
"NVIDIA FrameView SDK 1.5.10819.35301613","1.5.10819.35301613","NVIDIA Corporation","20250208"
"NVIDIA HD Audio Driver 1.4.3.2","1.4.3.2","NVIDIA Corporation","20250208"
"NVIDIA Install Application","2.1002.425.0","NVIDIA Corporation","20250211"
"NVIDIA Container","1.42","NVIDIA Corporation","20250208"
"NVIDIA AIUser Container","1.42","NVIDIA Corporation","20250208"
"NVIDIA LocalSystem Container","1.42","NVIDIA Corporation","20250208"
"NVIDIA Session Container","1.42","NVIDIA Corporation","20250208"
"NVIDIA User Container","1.42","NVIDIA Corporation","20250208"
"NVIDIA NvDLISR","1.0","NVIDIA Corporation","20250208"
"NVIDIA Platform Controllers and Framework","570.81","NVIDIA Corporation","20250208"
"NVIDIA Watchdog Plugin for NvContainer","1.42","NVIDIA Corporation","20250208"
"NVIDIA Telemetry Client","19.4.19.0","NVIDIA Corporation","20250208"
"Nvidia Share","10.0.2.210","NVIDIA Corporation","20240905"
"NVIDIA ShadowPlay 11.0.2.0","11.0.2.0","NVIDIA Corporation","20250208"
"NVIDIA USBC Driver 1.52.831.832","1.52.831.832","NVIDIA Corporation","20250211"
"NVIDIA Virtual Audio 4.65.0.3","4.65.0.3","NVIDIA Corporation","20250208"
"Eclipse Temurin JRE with Hotspot 8u422-b05 (x64)","8.0.422.5","Eclipse Adoptium","20240921"
"Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)","34.0.43","Microsoft Corporation","20240921"
"Aspire.Dashboard.Sdk.win-x64 (x64)","8.1.0.0","Microsoft Corporation","20240921"
"Microsoft .NET Host FX Resolver - 7.0.13 (x64)","56.52.4000","Microsoft Corporation","20250128"
"Microsoft Update Health Tools","5.72.0.0","Microsoft Corporation","20240519"
"Application Verifier x64 External Package (DesktopEditions)","10.1.22621.3233","Microsoft","20240521"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","64.32.18380","Microsoft Corporation","20240921"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60915","Microsoft Corporation","20241013"
"Microsoft .NET SDK 8.0.400 (x64) from Visual Studio","8.4.24.37502","Microsoft Corporation","20240921"
"Microsoft .NET Targeting Pack - 8.0.8 (x64)","64.32.18380","Microsoft Corporation","20240921"
"vs_communityx64msi","17.11.35103","Microsoft Corporation","20240921"
"vs_minshellx64msi","17.11.35102","Microsoft Corporation","20240921"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","64.32.18242","Microsoft Corporation","20240921"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","64.32.18380","Microsoft Corporation","20240921"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.42.34438","14.42.34438","Microsoft Corporation","20250311"
"Microsoft SQL Server 2019 LocalDB ","15.0.4382.1","Microsoft Corporation","20240921"
"Microsoft .NET Host - 5.0.17 (x64)","40.68.31213","Microsoft Corporation","20240517"
"Microsoft .NET AppHost Pack - 8.0.8 (x64_x86)","64.32.18380","Microsoft Corporation","20240921"
"Microsoft Visual Studio Code","1.98.2","Microsoft Corporation","20250322"
"Microsoft ASP.NET Core Module V2 for IIS Express","17.0.22116.0","Microsoft Corporation","20240521"
"Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)","17.5.8030","Microsoft Corporation","20240921"
"Microsoft .NET Toolset 8.0.401 (x64)","32.8.16914","Microsoft Corporation","20240921"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)","64.0.5426","Microsoft Corporation","20240921"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)","17.5.8030","Microsoft Corporation","20240921"
"VS Script Debugging Common","17.0.157.0","Microsoft Corporation","20240921"
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20240521"
"Aspire.Hosting.Orchestration.win-x64 (x64)","8.1.0.0","Microsoft Corporation","20240921"
"Microsoft ASP.NET Core Module for IIS Express","12.2.18292.0","Microsoft Corporation","20240521"
"Microsoft .NET AppHost Pack - 8.0.8 (x64_arm64)","64.32.18380","Microsoft Corporation","20240921"
"Visual Studio Build Tools 2019","16.11.40","Microsoft Corporation","20240922"
"Visual Studio Community 2022","17.11.4","Microsoft Corporation","20240521"
,,,
"Gaming Mouse","1.0","Redgear",
"GanttProject","3.3.3312","BarD Software s.r.o.",
"Ghost of Tsushima DC",,,"20240620"
"God of War",,,"20240620"
"Legion Arena","1.10.0.10","Lenovo Group Ltd.","20240516"
,,,
"Microsoft Edge","135.0.3179.18","Microsoft Corporation","20250318"
,"1.3.195.45",,
"Microsoft Edge WebView2 Runtime","135.0.3179.18","Microsoft Corporation","20250318"
"Dolby Vision Provisioning Utility","1.7.4.4 (2023 October Data a)","Lenovo Group Limited","20240708"
"Razer Cortex","11.0.46.0","Razer Inc.","20250121"
"RedGear COSMO7.1","3.26.2018.322","Redwood Interactive",
"Steam","2.10.91.91","Valve Corporation",
"Unity 2022.3.31f1","2022.3.31f1","Unity Technologies ApS",
"Lenovo Vantage Service","4.3.21.0","Lenovo Group Ltd.","20250318"
,,,
"Windows Mobile Extension SDK Contracts","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK for Windows Store Managed Apps Libs","10.1.22621.3233","Microsoft Corporation","20240521"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664","12.0.40664.0","Microsoft Corporation",
"Universal CRT Redistributable","10.0.26624","Microsoft Corporation","20240521"
"Windows SDK Desktop Tools arm64","10.1.19041.685","Microsoft Corporation","20240921"
"Windows IoT Extension SDK","10.1.19041.685","Microsoft Corporation","20240921"
"WinRT Intellisense UAP - en-us","10.1.19041.685","Microsoft Corporation","20240921"
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.19041.685","Microsoft Corporation","20240921"
"WinRT Intellisense PPI - en-us","10.1.19041.685","Microsoft Corporation","20240921"
"Windows SDK Desktop Libs x64","10.1.19041.685","Microsoft Corporation","20240921"
"Microsoft .NET Framework 4.7.2 Targeting Pack","4.7.03062","Microsoft Corporation","20240521"
"vs_CoreEditorFonts","17.7.40001","Microsoft Corporation","20240521"
"Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)","4.8.09037","Microsoft Corporation","20240521"
"Windows SDK Desktop Tools x86","10.1.19041.685","Microsoft Corporation","20240921"
"WPTx64 (OnecoreUAP)","10.1.22621.3233","Microsoft","20240521"
"Universal CRT Redistributable","10.1.22621.3233","Microsoft Corporation","20240521"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Windows SDK for Windows Store Apps Libs","10.1.19041.685","Microsoft Corporation","20240921"
"Microsoft Windows Desktop Runtime - 5.0.17 (x64)","5.0.17.31219","Microsoft Corporation",
"WinRT Intellisense IoT - Other Languages","10.1.19041.685","Microsoft Corporation","20240921"
"7-Zip 24.01","24.01.00.0","Igor Pavlov","20240620"
"Windows SDK Desktop Libs x86","10.1.22621.3233","Microsoft Corporation","20240521"
"vs_minshellsharedmsi","17.11.35102","Microsoft Corporation","20240921"
"Windows SDK for Windows Store Apps Contracts","10.1.19041.685","Microsoft Corporation","20240921"
"Windows SDK Desktop Libs arm","10.1.19041.685","Microsoft Corporation","20240921"
"WinAppDeploy","10.1.19041.685","Microsoft Corporation","20240921"
"Windows App Certification Kit x64","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK for Windows Store Apps Metadata","10.1.19041.685","Microsoft Corporation","20240921"
"Windows SDK Facade Windows WinMD Versioned","10.1.19041.685","Microsoft Corporation","20240921"
"SDK ARM Additions","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK Desktop Libs arm","10.1.22621.3233","Microsoft Corporation","20240521"
"icecap_collectionresources","17.11.35103","Microsoft Corporation","20240921"
"Windows SDK Desktop Headers arm","10.1.22621.3233","Microsoft Corporation","20240521"
"Microsoft .NET Host - 8.0.8 (x86)","64.32.18380","Microsoft Corporation","20240921"
"WinRT Intellisense IoT - en-us","10.1.19041.685","Microsoft Corporation","20240921"
"Windows SDK for Windows Store Apps Tools","10.1.22621.3233","Microsoft Corporation","20240521"
"WebAdvisor by McAfee","4.1.1.1013","McAfee, LLC",
"vs_communitymsi","16.11.34930","Microsoft Corporation","20240921"
"Universal CRT Tools x86","10.1.22621.3233","Microsoft Corporation","20240521"
"MSI Development Tools","10.1.22621.3233","Microsoft Corporation","20240521"
"vs_tipsmsi","17.11.35102","Microsoft Corporation","20240921"
"Windows SDK Desktop Headers x64","10.1.22621.3233","Microsoft Corporation","20240521"
"WinRT Intellisense UAP - Other Languages","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK Desktop Headers x86","10.1.19041.685","Microsoft Corporation","20240921"
"Microsoft ASP.NET Core 8.0.8 Targeting Pack (x86)","8.0.8.24369","Microsoft Corporation","20240921"
"Windows SDK Redistributables","10.1.22621.3233","Microsoft Corporation","20240521"
"Launcher Prerequisites (x64)","1.0.0.0","Epic Games, Inc.",
"WinRT Intellisense Mobile - en-us","10.1.19041.685","Microsoft Corporation","20240921"
"Safe Exam Browser","3.7.1.704","ETH Z?rich",
"WinRT Intellisense IoT - en-us","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows Software Development Kit - Windows 10.0.19041.685","10.1.19041.685","Microsoft Corporation",
"vs_vswebprotocolselectormsi","17.11.35102","Microsoft Corporation","20240921"
"Windows IoT Extension SDK Contracts","10.1.19041.685","Microsoft Corporation","20240921"
"Windows SDK for Windows Store Apps Metadata","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK for Windows Store Apps Tools","10.1.19041.685","Microsoft Corporation","20240921"
"Windows SDK Desktop Headers arm","10.1.19041.685","Microsoft Corporation","20240921"
"Universal CRT Extension SDK","10.1.19041.685","Microsoft Corporation","20240921"
"WinRT Intellisense Desktop - Other Languages","10.1.22621.3233","Microsoft Corporation","20240521"
"Microsoft .NET Framework 4.7.1 Targeting Pack","4.7.02558","Microsoft Corporation","20240521"
"Windows SDK Signing Tools","10.1.22621.3233","Microsoft Corporation","20240521"
"Epic Online Services","2.0.44.0","Epic Games, Inc.","20240519"
"vs_filehandler_amd64","17.11.35102","Microsoft Corporation","20240921"
"icecap_collection_neutral","17.11.35103","Microsoft Corporation","20240921"
"Microsoft .NET Runtime - 8.0.8 (x86)","64.32.18380","Microsoft Corporation","20240921"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.42.34438","14.42.34438","Microsoft Corporation","20250311"
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.22621.3233","Microsoft Corporation","20240521"
"vs_filehandler_x86","17.11.35102","Microsoft Corporation","20240921"
"WinRT Intellisense PPI - Other Languages","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK for Windows Store Apps Contracts","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows Team Extension SDK Contracts","10.1.19041.685","Microsoft Corporation","20240921"
"Windows SDK for Windows Store Apps","10.1.22621.3233","Microsoft Corporation","20240521"
"Lenovo Now","4.2.1.1","Lenovo","20250313"
"Microsoft .NET Host FX Resolver - 8.0.8 (x86)","64.32.18380","Microsoft Corporation","20240921"
"WinRT Intellisense IoT - Other Languages","10.1.22621.3233","Microsoft Corporation","20240521"
"Universal CRT Headers Libraries and Sources","10.1.19041.685","Microsoft Corporation","20240921"
"vs_clickoncesigntoolmsi","17.11.35102","Microsoft Corporation","20240921"
"X-Rite Color Assistant 2.53.0","2.53.0","X-Rite, Inc","20240829"
"vs_minshellmsires","17.11.35102","Microsoft Corporation","20240921"
"Microsoft ASP.NET Diagnostic Pack for Visual Studio","17.11.231.19466","Microsoft Corporation","20240921"
"Windows Software Development Kit - Windows 10.0.22621.3233","10.1.22621.3233","Microsoft Corporation",
"Windows Mobile Extension SDK","10.1.19041.685","Microsoft Corporation","20240921"
"Windows App Certification Kit x64 (OnecoreUAP)","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK for Windows Store Apps Headers","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK Modern Non-Versioned Developer Tools","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK Facade Windows WinMD Versioned","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows Desktop Extension SDK Contracts","10.1.22621.3233","Microsoft Corporation","20240521"
"icecap_collectionresourcesx64","17.11.35102","Microsoft Corporation","20240921"
"Windows Mobile Extension SDK Contracts","10.1.19041.685","Microsoft Corporation","20240921"
"MSI Development Tools","10.1.19041.685","Microsoft Corporation","20240921"
"Microsoft ASP.NET Core 8.0.8 Shared Framework (x86)","8.0.8.24369","Microsoft Corporation","20240921"
"vs_Graphics_Singletonx86","17.11.35103","Microsoft Corporation","20240921"
"Windows SDK Desktop Libs x86","10.1.19041.685","Microsoft Corporation","20240921"
"WinRT Intellisense Mobile - en-us","10.1.22621.3233","Microsoft Corporation","20240521"
"Microsoft TestPlatform SDK Local Feed","17.10.0.9037153","Microsoft","20240521"
"Windows SDK DirectX x86 Remote","10.1.22621.3233","Microsoft Corporation","20240521"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20240921"
"Windows SDK Desktop Libs x64","10.1.22621.3233","Microsoft Corporation","20240521"
"vs_minshellinteropsharedmsi","17.11.35102","Microsoft Corporation","20240921"
"vcpp_crt.redist.clickonce","14.40.33810","Microsoft Corporation","20240521"
"Windows SDK Desktop Libs arm64","10.1.22621.3233","Microsoft Corporation","20240521"
"WinRT Intellisense UAP - Other Languages","10.1.19041.685","Microsoft Corporation","20240921"
"vs_minshellinteropmsi","16.10.31306","Microsoft Corporation","20240921"
"vs_clickoncebootstrappermsi","17.11.35103","Microsoft Corporation","20240921"
"Windows IoT Extension SDK Contracts","10.1.22621.3233","Microsoft Corporation","20240521"
"Office Timeline","8.2.1","Office Timeline",
"Windows SDK for Windows Store Apps Headers","10.1.19041.685","Microsoft Corporation","20240921"
"Microsoft Windows Desktop Targeting Pack - 8.0.8 (x86)","64.32.18376","Microsoft Corporation","20240921"
"Microsoft .NET Framework 4.7.1 Doc Redirected Targeting Pack (ENU)","4.7.02558","Microsoft Corporation","20240521"
"Windows Team Extension SDK","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK ARM Desktop Tools","10.1.19041.685","Microsoft Corporation","20240921"
"Microsoft .NET Framework 4.8 SDK","4.8.03928","Microsoft Corporation","20240521"
"WinRT Intellisense UAP - en-us","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK Desktop Libs arm64","10.1.19041.685","Microsoft Corporation","20240921"
"Windows SDK ARM Desktop Tools","10.1.22621.3233","Microsoft Corporation","20240521"
"vs_SQLClickOnceBootstrappermsi","17.11.35102","Microsoft Corporation","20240921"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664","12.0.40664.0","Microsoft Corporation",
"Microsoft Visual C++ 2022 X86 Debug Runtime - 14.40.33810","14.40.33810","Microsoft Corporation","20240521"
"Microsoft .NET Framework 4.6.2 Targeting Pack","4.6.01590","Microsoft Corporation","20240921"
"Windows Desktop Extension SDK Contracts","10.1.19041.685","Microsoft Corporation","20240921"
"Windows Mobile Extension SDK","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK Desktop Tools arm64","10.1.22621.3233","Microsoft Corporation","20240521"
"vs_communitysharedmsi","17.11.35103","Microsoft Corporation","20240921"
"Microsoft .NET Framework 4.8 Targeting Pack (ENU)","4.8.03761","Microsoft Corporation","20240521"
"Windows SDK EULA","10.1.19041.685","Microsoft Corporations","20240921"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.42.34438","14.42.34438","Microsoft Corporation","20250311"
"Universal CRT Redistributable","10.1.19041.685","Microsoft Corporation","20240921"
"Microsoft Visual Studio Setup WMI Provider","3.11.2133.16870","Microsoft Corporation","20240921"
"Windows SDK Desktop Headers arm64","10.1.22621.3233","Microsoft Corporation","20240521"
"Universal General MIDI DLS Extension SDK","10.1.19041.685","Microsoft Corporation","20240921"
"WPT Redistributables","10.1.22621.3233","Microsoft","20240521"
"vs_githubprotocolhandlermsi","17.11.35102","Microsoft Corporation","20240921"
"WinRT Intellisense Desktop - en-us","10.1.22621.3233","Microsoft Corporation","20240521"
"WinRT Intellisense Desktop - Other Languages","10.1.19041.685","Microsoft Corporation","20240921"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34438","14.42.34438.0","Microsoft Corporation",
"Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)","4.7.03062","Microsoft Corporation","20240521"
"Microsoft .NET SDK 8.0.401 (x64)","8.4.124.41202","Microsoft Corporation",
"SDK ARM Redistributables","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK Signing Tools","10.1.19041.685","Microsoft Corporation","20240921"
"Epic Games Launcher","1.3.93.0","Epic Games, Inc.","20240519"
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34438","14.42.34438.0","Microsoft Corporation",
"vs_clickoncebootstrappermsires","17.11.35102","Microsoft Corporation","20240921"
"Microsoft .NET Framework 4.8 Targeting Pack","4.8.03761","Microsoft Corporation","20240521"
"Respondus LockDown Browser 2","2.00.0000","Respondus","20241016"
"WinRT Intellisense Desktop - en-us","10.1.19041.685","Microsoft Corporation","20240921"
"ClickOnce Bootstrapper Package for Microsoft .NET Framework","4.8.09256","Microsoft Corporation","20240921"
"VS Immersive Activate Helper","17.0.157.0","Microsoft Corporation","20240921"
"Office Timeline","8.2.1","Office Timeline LLC","20241031"
"Windows SDK Desktop Tools x64","10.1.22621.3233","Microsoft Corporation","20240521"
"vs_minshellmsi","16.11.34902","Microsoft Corporation","20240921"
"WinRT Intellisense PPI - en-us","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows SDK Modern Versioned Developer Tools","10.1.22621.3233","Microsoft Corporation","20240521"
"Windows App Certification Kit SupportedApiList x86","10.1.22621.3233","Microsoft Corporation","20240521"
"Microsoft .NET Framework 4.6.2 Targeting Pack (ENU)","4.6.01590","Microsoft Corporation","20240921"
"Windows SDK Desktop Headers x64","10.1.19041.685","Microsoft Corporation","20240921"
"Windows SDK Desktop Headers arm64","10.1.19041.685","Microsoft Corporation","20240921"
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20240521"
"Microsoft Windows Desktop Runtime - 7.0.13 (x64)","7.0.13.33018","Microsoft Corporation",
